ProductID,Subcategory,Remaining after reservations including BOM units WZ0001A,Remaining after reservations including BOM units WZ0002,PreorderThreshold,ParentID
686233,Care_Products,0,0,2.0,
686234,Care_Products,0,0,2.0,
A0008,Decorative_Objects_and_Sculptures,2,0,2.0,
A0011,Decorative_Objects_and_Sculptures,3,2,2.0,
A0012,Mirrors,37,0,2.0,
A0013,Mirrors,0,0,2.0,
A0213,Wall_Art,0,0,2.0,
A0214,Wall_Art,2,0,2.0,
A0216,Rectangle_Rugs,1,3,2.0,
A0217,Rectangle_Rugs,0,0,2.0,
A0219,Rectangle_Rugs,0,5,2.0,
A0220,Rectangle_Rugs,1,2,2.0,
A0221,Rectangle_Rugs,1,4,2.0,
A0222,Rectangle_Rugs,1,2,2.0,
A0223,Rectangle_Rugs,2,2,2.0,
A0224,Rectangle_Rugs,1,1,2.0,
A0228,Rectangle_Rugs,1,6,2.0,
A0231,Rectangle_Rugs,25,0,2.0,
A0232,Rectangle_Rugs,0,0,2.0,
B1018Q,Beds,0,0,2.0,
B1018Q-1/3,Beds,0,3,2.0,B1018Q
B1018Q-2/3,Beds,1,3,2.0,B1018Q
B1018Q-3/3,Beds,0,3,2.0,B1018Q
B1019K-1/3,Beds,2,27,2.0,B1019K
B1019K-2/3,Beds,2,27,2.0,B1019K
B1019K-3/3,Beds,2,27,2.0,B1019K
B1051K-2/4,Beds,0,1,2.0,B1051K
B1051K-3/4,Beds,1,1,2.0,B1051K
B1051K-4/4,Beds,1,1,2.0,B1051K
B1051Q-1/4,Beds,0,0,2.0,B1051Q
B1051Q-2/4,Beds,0,0,2.0,B1051Q
S1028,Sofas,1,14,2.0,
S1034,Sofas,33,0,2.0,
S1046,Lounge_Chairs,45,2,2.0,
S1092,Ottomans,1,3,2.0,S1184
S1107,Ottomans,-1,2,2.0,
S1112,Ottomans,1,1,2.0,
S1158,Ottomans,1,4,2.0,
S1160,Loveseats,2,4,2.0,
T1481,Bar_and_Counter_Stools,6,59,6.0,
T1491,Bar_and_Counter_Stools,3,47,6.0,
T1523,Dining_Tables,4,2,2.0,
T1523-2/2,Dining_Tables,4,2,2.0,T1523
T1614,Bar_and_Counter_Stools,0,1,6.0,
T5115,Bookcases_and_Shelves,1,4,2.0,
T5120,Sideboards_and_Cabinets,2,0,2.0,
T5131,TV_and_Media_Units,3,2,2.0,
T5182,TV_and_Media_Units,2,5,2.0,
T5274,Bookcases_and_Shelves,2,7,2.0,
T5381,Dining_Tables,1,1,2.0,
T5494,Bar_and_Counter_Stools,15,4,6.0,
T5501,Bar_and_Counter_Stools,3,0,6.0,
T5504,Bar_and_Counter_Stools,6,18,6.0,
T5552,Bar_and_Counter_Stools,4,0,6.0,
T5634,Desks,2,0,2.0,
T5635,Coffee_Tables,0,0,2.0,
T5687,Consoles,1,5,2.0,
T5688,Consoles,2,5,2.0,
T5693,Bar_and_Counter_Tables,0,1,2.0,
T5696,Coffee_Tables,0,2,2.0,
T5700,Coffee_Tables,3,1,2.0,
T5709,Bookcases_and_Shelves,1,1,2.0,
T5718,Bar_and_Counter_Stools,6,0,6.0,
T5725,Bar_and_Counter_Stools,1,0,6.0,
T5747,Coffee_Tables,2,3,2.0,
T5759,Bar_and_Counter_Stools,0,0,6.0,
T5762,Bar_and_Counter_Stools,1,0,6.0,
T5779,Coffee_Tables,1,5,2.0,
T5786,Bar_and_Counter_Tables,1,2,2.0,
T5814,Coffee_Tables,-1,0,2.0,
T5818,Bookcases_and_Shelves,0,2,2.0,
T5886,Bar_and_Counter_Stools,73,0,6.0,
T5887,Bar_and_Counter_Stools,0,-1,6.0,
T5888,Bar_and_Counter_Stools,4,0,6.0,
T5889,Bar_and_Counter_Stools,41,0,6.0,
T5890,Bar_and_Counter_Stools,4,0,6.0,
T5891,Bar_and_Counter_Stools,0,0,6.0,
T5892,Bar_and_Counter_Stools,1,79,6.0,
T5893,Bar_and_Counter_Stools,0,0,6.0,
T5894,Bar_and_Counter_Stools,-1,0,6.0,
T5896,Bar_and_Counter_Stools,0,0,6.0,
T5898,Bar_and_Counter_Stools,6,47,6.0,
T5899,Bar_and_Counter_Stools,0,0,6.0,
T5901,Bar_and_Counter_Stools,1,23,6.0,
T5905,Coffee_Tables,0,0,2.0,
T5907,Sideboards_and_Cabinets,0,0,2.0,
T5937,Coffee_Tables,1,0,2.0,
T5949,Sideboards_and_Cabinets,0,0,2.0,
T5950,Sideboards_and_Cabinets,0,0,2.0,
T5954,Sideboards_and_Cabinets,0,0,2.0,
T5959,Bar_and_Counter_Stools,0,0,6.0,
T5964,Bar_and_Counter_Stools,1,2,6.0,
T5974,Coffee_Tables,2,1,2.0,
T5976,Bookcases_and_Shelves,2,1,2.0,
T5977-1/2,Bookcases_and_Shelves,0,7,2.0,T5977
T5977-2/2,Bookcases_and_Shelves,0,7,2.0,T5977
T5985,Coffee_Tables,2,1,2.0,
T5986,Coffee_Tables,2,1,2.0,
T5995,Consoles,1,6,2.0,
T6001,Bar_and_Counter_Stools,2,2,6.0,
T6012,Benches,2,6,2.0,
T6054,Coffee_Tables,0,-1,2.0,
T6055,Coffee_Tables,2,14,2.0,
T6078,Coffee_Tables,1,12,2.0,
T6111,Bar_and_Counter_Stools,1,1,6.0,
T6112,Bar_and_Counter_Stools,3,2,6.0,
T6120,Coffee_Tables,2,2,2.0,
T6122,Coffee_Tables,0,0,2.0,
T6123,Coffee_Tables,0,0,2.0,
T6124,Coffee_Tables,0,0,2.0,
T6125,Coffee_Tables,0,0,2.0,
T6130-1/2,Dining_Tables,0,0,2.0,T6130
T6130-2/2,Dining_Tables,0,0,2.0,T6130
T6152,Bar_and_Counter_Stools,0,0,6.0,
T6153,Bar_and_Counter_Stools,0,0,6.0,
T6191,Ottomans,0,0,2.0,
T6192,Ottomans,0,0,2.0,
T6206-1/2,Dining_Tables,7,0,2.0,T6206
T6206-2/2,Dining_Tables,3,2,2.0,T6206
T6210,Coffee_Tables,0,0,2.0,
T6211,TV_and_Media_Units,3,0,2.0,
T6214,Sideboards_and_Cabinets,2,27,2.0,
T6215,Nightstands,1,38,2.0,
T6216,Desks,0,95,2.0,
T6229,Bar_and_Counter_Stools,0,0,6.0,
X2122,Benches,2,4,2.0,T6019
X2122,Benches,2,4,2.0,T6024
X2122,Benches,2,4,2.0,T6029
X2122,Benches,2,4,2.0,T6034
Y2077,Benches,4,2,2.0,T5934
